How do you interact with the Numba project? (check all that apply),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,What kinds of applications do you use Numba for? (check all that apply),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Which of the following Numba features have you found useful? (check all that apply),Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Which of the following Numba features did not work for you or were too limited for your use case? (check all that apply),Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,"Which of the following Numba features were usable for you, but you wish could be improved? (check all that apply)",Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Please rank these Numba development activities in order of how important they are to you. (From highest priority to lowest priority),Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Please rank these potential new Numba features in order of how important they are to you. (From highest priority to lowest priority),Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Do you use llvmlite separately from Numba? (Yes/No),"If you answered yes in Q8, why do you use llvmlite? (check all that apply)",Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,How would you prefer to get Numba project-related announcements and updates? (check all that apply),Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121
I regularly use Numba to speed up Python code I have personally written.,I maintain an open source project that depends on Numba.,I maintain a proprietary or non-public project that depends on Numba (might be internal to your organization).,I have contributed a pull request to Numba.,I am a regular reader of the Numba discussion forums.,"I answer other people's questions about Numba on forums, StackOverflow, etc.","I package Numba for distribution (conda, Linux distributions, homebrew, etc)",Hobby,Educational projects,Visualization,Financial analytics,Scientific research,Compiler development,Web-based microservices,High performance computing on clusters,"Numerical simulations / ""Digital Twins""",Machine learning / AI,Time series analysis,Spatial / GIS data set processing,Support for raising exceptions (raise statement),Support for catching exceptions (try-except statement),Support for generators,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),CUDA kernel compilation (@cuda.jit),Creating C callbacks with @cfunc,Creating NumPy ufuncs with @vectorize or @guvectorize,Creating stencil functions with @stencil,"Calling back into the Python interpreter using ""with objmode""",Caching of compiled functions to disk,Ahead of time compilation (with numba.pycc),"Debugging tools (gdb support, LLVM IR and assembly dumps, etc)",Autovectorization,"The extension API (@overload, etc)",First class function types (types.FunctionType),Support for raising exceptions (raise statement),Support for catching exceptions (try-except statement),Support for generators,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),CUDA kernel compilation (@cuda.jit),Creating C callbacks with @cfunc,Creating NumPy ufuncs with @vectorize or @guvectorize,Creating stencil functions with @stencil,"Calling back into the Python interpreter using ""with objmode""",Caching of compiled functions to disk,Ahead of time compilation (with numba.pycc),"Debugging tools (gdb support, LLVM IR and assembly dumps, etc)",Autovectorization,"The extension API (@overload, etc)",First class function types (types.FunctionType),Support for raising exceptions (raise statement),Support for catching exceptions (try-except statement),Support for generators,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),CUDA kernel compilation (@cuda.jit),Creating C callbacks with @cfunc,Creating NumPy ufuncs with @vectorize or @guvectorize,Creating stencil functions with @stencil,"Calling back into the Python interpreter using ""with objmode""",Caching of compiled functions to disk,Ahead of time compilation (with numba.pycc),"Debugging tools (gdb support, LLVM IR and assembly dumps, etc)",Autovectorization,"Extension API (@overload, etc)",First class function types (types.FunctionType),Response to bug reports,Review of pull requests,"Support for new Python minor releases (3.11, 3.12, etc)",Support for new NumPy releases,Support for new LLVM releases,Improved reference documentation,Creating examples of Numba usage and performance best practices,Feature development,Answering user questions in the forums,Continued support for Python releases more than 4 years old (example: Python 3.8),Ahead-of-time compilation with support for type-based dispatching and multiple CPU target specialization,Calling C++ (not C) code directly from nopython functions,Support for non-NVIDIA GPUs,Better support for struct-like data types and arrays of struct data on CPU and GPU,Context managers/with statement,async features,typed.Set,yield from,Python typing <-> Numba type integration (i.e. get a Numba signature from Python type annotations),More NumPy functions,Performance profiling,Response,,Learning about compilers,Compiler research,Building Python compilers (other than Numba),Building non-Python or domain specific compilers,Mastodon,X (formerly Twitter),YouTube,Discourse forums,Changelog (in docs),Email newsletter,Blog
I regularly use Numba to speed up Python code I have personally written.,,I maintain a proprietary or non-public project that depends on Numba (might be internal to your organization).,,,,,,,,,Scientific research,,,,"Numerical simulations / ""Digital Twins""",,,,,,Support for generators,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,,,CUDA kernel compilation (@cuda.jit),,Creating NumPy ufuncs with @vectorize or @guvectorize,Creating stencil functions with @stencil,,Caching of compiled functions to disk,Ahead of time compilation (with numba.pycc),"Debugging tools (gdb support, LLVM IR and assembly dumps, etc)",,,,Support for raising exceptions (raise statement),Support for catching exceptions (try-except statement),,,,Compiling Python classes as structs using @jitclass,,,,,,,,,,Autovectorization,,,,,Support for generators,,,,,CUDA kernel compilation (@cuda.jit),,,Creating stencil functions with @stencil,,,Ahead of time compilation (with numba.pycc),,,,First class function types (types.FunctionType),4,3,10,5,9,8,6,2,1,7,1,3,8,6,5,9,10,11,7,2,4,No,,,,,,,,,Discourse forums,,,
I regularly use Numba to speed up Python code I have personally written.,I maintain an open source project that depends on Numba.,I maintain a proprietary or non-public project that depends on Numba (might be internal to your organization).,,I am a regular reader of the Numba discussion forums.,"I answer other people's questions about Numba on forums, StackOverflow, etc.","I package Numba for distribution (conda, Linux distributions, homebrew, etc)",,,,,,,,,,Machine learning / AI,,Spatial / GIS data set processing,,,,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),CUDA kernel compilation (@cuda.jit),,Creating NumPy ufuncs with @vectorize or @guvectorize,,,Caching of compiled functions to disk,Ahead of time compilation (with numba.pycc),,,,,,,,,,,,,,,,,,,,,,,,,,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),CUDA kernel compilation (@cuda.jit),,Creating NumPy ufuncs with @vectorize or @guvectorize,,,Caching of compiled functions to disk,Ahead of time compilation (with numba.pycc),,,,,6,7,9,4,5,2,1,3,8,10,1,10,11,3,7,9,4,5,6,2,8,No,,,,,,Mastodon,,,,,,Blog
I regularly use Numba to speed up Python code I have personally written.,,I maintain a proprietary or non-public project that depends on Numba (might be internal to your organization).,,I am a regular reader of the Numba discussion forums.,,"I package Numba for distribution (conda, Linux distributions, homebrew, etc)",,,,,Scientific research,,,High performance computing on clusters,"Numerical simulations / ""Digital Twins""",Machine learning / AI,Time series analysis,,,,Support for generators,,Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,,,,Creating NumPy ufuncs with @vectorize or @guvectorize,,,Caching of compiled functions to disk,,,,"The extension API (@overload, etc)",,,,,,,Compiling Python classes as structs using @jitclass,,,,,,,,,,,,,,,,,,Compiling Python classes as structs using @jitclass,,,,,,,,,,,,,4,7,10,9,8,6,5,1,3,2,2,3,9,1,6,5,10,11,8,4,7,No,,,,,,,,,,,Email newsletter,
I regularly use Numba to speed up Python code I have personally written.,,,,,,,,,,,Scientific research,,,,,,Time series analysis,,,,,,Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,1,3,5,7,8,9,10,5,4,10,7,8,6,11,9,2,1,3,No,,,,,,Mastodon,,,,Changelog (in docs),,Blog
,,,,,,,,,,,Scientific research,,,,"Numerical simulations / ""Digital Twins""",Machine learning / AI,,,,,,,Using NumPy functions in compiled code,,Automatic multithreading with @jit(parallel=True) and/or prange(),CUDA kernel compilation (@cuda.jit),,,,,,,,Autovectorization,,,,,,,,,Automatic multithreading with @jit(parallel=True) and/or prange(),,,,,,,,,Autovectorization,,,,,,,Using NumPy functions in compiled code,,Automatic multithreading with @jit(parallel=True) and/or prange(),,,,,,,,,Autovectorization,,,6,7,9,1,8,3,2,5,4,10,5,6,9,4,7,1,10,11,8,2,3,No,,,,,,,,,,Changelog (in docs),,Blog
I regularly use Numba to speed up Python code I have personally written.,,,,,,,,,,,Scientific research,,,,,,,,,,,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,,,,,,,Caching of compiled functions to disk,,,,,First class function types (types.FunctionType),,,,"Typed containers (typed.List, typed.Dict)",,Compiling Python classes as structs using @jitclass,,,,,,,,,,,,First class function types (types.FunctionType),,,,"Typed containers (typed.List, typed.Dict)",,,,,,,,,,,,,,First class function types (types.FunctionType),5,7,10,9,8,3,2,1,4,6,4,5,10,1,8,7,2,11,3,6,9,No,,,,,,,,,,Changelog (in docs),,Blog
I regularly use Numba to speed up Python code I have personally written.,,,,,,,,Educational projects,,,Scientific research,,,,"Numerical simulations / ""Digital Twins""",,,,,,,,Using NumPy functions in compiled code,,Automatic multithreading with @jit(parallel=True) and/or prange(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,10,3,9,4,1,2,6,7,4,1,9,6,7,5,10,11,8,2,3,No,,,,,,,,,,,Email newsletter,
I regularly use Numba to speed up Python code I have personally written.,,I maintain a proprietary or non-public project that depends on Numba (might be internal to your organization).,,I am a regular reader of the Numba discussion forums.,,,Hobby,,,Financial analytics,Scientific research,,,,"Numerical simulations / ""Digital Twins""",Machine learning / AI,Time series analysis,,,,,,,Compiling Python classes as structs using @jitclass,Automatic multithreading with @jit(parallel=True) and/or prange(),,,,,,Caching of compiled functions to disk,,,Autovectorization,,,,,,,,,,CUDA kernel compilation (@cuda.jit),,,,,,Ahead of time compilation (with numba.pycc),,,,,,,,,,,,,,,,,Caching of compiled functions to disk,,,,,,9,8,4,1,2,7,5,3,6,10,11,8,10,5,4,9,6,7,3,2,1,No,,,,,,,,,,Changelog (in docs),,
I regularly use Numba to speed up Python code I have personally written.,,,,I am a regular reader of the Numba discussion forums.,,,,Educational projects,,,Scientific research,,,,,,,,,,,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,,,,,,,,Caching of compiled functions to disk,,,Autovectorization,,,,,Support for generators,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,,,,,,,,,,"Debugging tools (gdb support, LLVM IR and assembly dumps, etc)",,,,,,Support for generators,"Typed containers (typed.List, typed.Dict)",Using NumPy functions in compiled code,Compiling Python classes as structs using @jitclass,,,,,,,,,,,,,6,8,9,4,5,7,2,3,1,10,9,6,10,8,7,11,4,5,3,1,2,No,,,,,,,,,,,Email newsletter,Blog
